Article,/articles/parallel-phpunit,"Parallel PHPUnit"
Article,/articles/using-apc-correctly,"Using APC correctly"
Article,/articles/angularjs-first-impression,"AngularJS: first impression"
Article,/articles/stand-back-im-going-try,"Stand back, I&#039;m going to try science!"
Article,/articles/mongodb-christmas-optimization,"MongoDB Christmas optimization"
Article,/articles/long-running-php-processes,"Long-running PHP processes: external resources"
Article,/articles/no-return-statements,"No return statements"
Article,/articles/global-day-code-retreat-2013,"Global Day of Code Retreat 2013"
Article,/articles/roman-numerals-towards-reuse,"Roman numerals, towards reuse"
Article,/articles/mongodb-and-its-locks,"MongoDB and its locks"
Article,/articles/italian-agile-days-2013," Italian Agile Days 2013"
Article,/articles/course-jb-rainsberger,"A course with J.B. Rainsberger"
Article,/articles/distributed-time,"Distributed time"
Article,/articles/rest-callbacks,"REST callbacks"
Article,/articles/configuration-code,"Configuration is code"
Article,/articles/two-days-business-side,"Two days in the business side"
Article,/articles/http-katas,"HTTP katas"
Article,/articles/migration-aws-part-3,"Migration to AWS, part 3"
Article,/articles/different-kind-kata-harry," A different kind of kata: Harry Potter books"
Article,/articles/migration-aws-part-2,"Migration to AWS: part 2"
Article,/articles/book-review-feedback-control,"Book review: Feedback control for computer systems"
Article,/articles/book-review-puritan-gift,"Book review: The Puritan Gift"
Article,/articles/pull-model-event-stores,"A pull model for Event Stores"
Article,/articles/migration-aws-part-1,"Migration to AWS: part 1"
Article,/articles/object-relational-mapping,"Object-relational mapping: seriously"
Article,/articles/unix-lessons-sed,"Unix lessons: sed"
Article,/articles/revisiting-conways-law,"Revisiting Conway&#039;s law"
Article,/articles/six-months-behat,"Six months of Behat"
Article,/articles/programmers-information-diet," The programmer&#039;s information diet"
Article,/articles/unix-commands-dealing,"Unix commands for dealing with structured text"
Article,/articles/book-review-slack,"Book review: Slack"
Article,/articles/what-your-test-suite-wont,"What your test suite won&#039;t catch"
Article,/articles/karate-chop,"Karate Chop"
"Book page",/books/practical-php-patterns/practical-php-patterns-visitor,"Practical PHP Patterns: Visitor"
Article,/articles/how-lazydecorator-can-let-your,"How a LazyDecorator can let your application avoid building massive object graphs"
Article,/articles/little-toolbox-php-performance,"The little toolbox of PHP performance optimization"
Article,/articles/how-shard-cron,"How to shard a cron"
Article,/articles/xp-values-communication,"XP Values: Communication"
Article,/articles/importing-data-api-way,"Importing data, the API way"
Article,/articles/xp-values-courage,"XP Values: Courage"
Article,/articles/notes-software-team-leader,"Notes to a Software Team Leader Review"
Article,/articles/openclosed-principle-kata,"An Open/Closed Principle kata"
Article,/articles/management-30-review,"Management 3.0 review"
Article,/articles/battle-legacy-reducing-ifs,"Battle with legacy: reducing ifs"
Article,/articles/elephant-carpaccio-user,"Elephant Carpaccio (on user stories)"
Article,/articles/upgrading-php-trenches,"Upgrading PHP, from the trenches"
Article,/articles/review-implementing-domain,"Review: Implementing Domain-Driven Design"
Article,/articles/my-vim-values,"My Vim values"
Article,/articles/memcache-102,"Memcache 102"
Article,/articles/xp-values-feedback,"XP Values: Feedback"
Article,/articles/wheel-assetic,"The Wheel: Assetic"
Article,/articles/xp-values-simplicity,"XP Values: Simplicity"
Article,/articles/legacy-code-retreat,"The Legacy Code Retreat"
Article,/articles/backward-compatibility-even,"Backward compatibility, even inside a single project"
